Measurement,Mean,SD,FirstQuartile,Median,ThirdQuartile
EDA_mean,4.59,3.45,1.98,3.72,6.31
EDA_std,0.04,0.07,0.01,0.02,0.03
EDA_min,4.41,3.43,1.80,3.54,6.18
EDA_max,4.76,3.50,2.10,3.85,6.49
ECG_mean,1.10E-03,7.82E-04,7.24E-04,1.14E-03,1.54E-03
ECG_std,0.26,0.06,0.23,0.27,0.30
ECG_min,-0.60,0.23,-0.75,-0.54,-0.42
ECG_max,1.42,0.20,1.49,1.50,1.50
EMG_mean,-2.96E-03,9.21E-04,-3.51E-03,-2.97E-03,-2.54E-03
EMG_std,1.30E-02,5.91E-03,9.55E-03,1.14E-02,1.49E-02
EMG_min,-0.10,0.08,-0.11,-0.08,-0.06
EMG_max,0.09,0.08,0.04,0.06,0.11
Resp_mean,0.05,0.20,-0.02,0.05,0.13
Resp_std,3.24,1.61,2.11,2.84,3.90
Resp_min,-7.36,4.66,-8.96,-5.92,-4.16
Resp_max,8.68,5.55,4.77,7.09,10.73
Temp_mean,33.76,1.32,33.54,34.12,34.53
Temp_std,0.05,0.58,0.02,0.03,0.03
Temp_min,33.35,9.40,33.44,34.01,34.41
Temp_max,33.94,1.30,33.72,34.28,34.69
ACC_x_mean,0.80,0.13,0.73,0.86,0.90
ACC_x_std,1.37E-02,1.96E-02,5.61E-03,8.84E-03,1.58E-02
ACC_x_min,0.73,0.26,0.67,0.78,0.84
ACC_x_max,0.88,0.16,0.80,0.91,0.97
ACC_y_mean,-0.03,0.10,-0.06,-0.02,0.02
ACC_y_std,1.90E-02,2.46E-02,5.93E-03,1.09E-02,2.23E-02
ACC_y_min,-0.11,0.23,-0.15,-0.09,-0.04
ACC_y_max,0.04,0.13,-0.01,0.05,0.10
ACC_z_mean,-0.35,0.26,-0.54,-0.31,-0.17
ACC_z_std,3.13E-02,3.95E-02,1.12E-02,1.91E-02,3.52E-02
ACC_z_min,-0.45,0.31,-0.64,-0.44,-0.28
ACC_z_max,-0.21,0.32,-0.45,-0.19,3.20E-03
,,,,,
,,,,,
,,,,,
