,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,BVP_mean,BVP_std,BVP_min,BVP_max,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.02770329,0.001536909,0.022705766,0.031650462,0.027703276,0.001536909,0.022705756,0.031650447,1.91E-05,1.06E-06,1.56E-05,2.18E-05,1.91E-05,1.06E-06,1.56E-05,2.18E-05,-0.76906727,38.72994687,-128.88,115.64,0.610562275,0.02118926,0.578254614,0.649254199,0.009096532,0.004774697,0.000977972,0.021312787,0.006565115,0.019989017,6.33E-08,0.101644264,0.954309426,0.096486613,0.813038332,1.134538264,33.40509091,0.016222625,33.37,33.43,0.126625212,0.000430178,0,1,0
0,0.026384985,0.000391625,0.024769927,0.027522141,0.026384972,0.000391625,0.024769915,0.027522128,1.82E-05,2.69E-07,1.70E-05,1.89E-05,1.82E-05,2.69E-07,1.70E-05,1.89E-05,0.791691176,36.30273613,-95.51,64.11,0.555548849,0.012364503,0.534440226,0.577892435,0.004451306,0.002946738,0.000863918,0.013542676,0.003565955,0.014697408,8.29E-08,0.10537043,0.705579092,0.057768772,0.614201015,0.810809327,33.43036036,0.020265265,33.39,33.47,0.135746606,0.000423482,0,1,0
0,0.026400551,0.00033698,0.026146034,0.027522141,0.026400539,0.00033698,0.026146022,0.027522128,1.82E-05,2.32E-07,1.80E-05,1.89E-05,1.82E-05,2.32E-07,1.80E-05,1.89E-05,-0.445726399,38.41179853,-95.8,92.87,0.5210882,0.00845157,0.50670815,0.53684547,0.006078643,0.003522815,0.000943168,0.015548577,0.006441793,0.024244176,6.65E-08,0.19881638,0.545169884,0.038046793,0.483898674,0.612978924,33.458,0.013537826,33.43,33.49,0.13566987,0.00016374,0,1,0
0,0.026472159,0.007462429,0,0.087382798,0.026261994,0.00817129,-0.019953543,0.087382756,1.81E-05,5.62E-06,-1.37E-05,6.01E-05,1.81E-05,5.62E-06,-1.37E-05,6.01E-05,0.232279412,67.14685306,-386.4,195.91,0.521058152,0.018757445,0.501711789,0.576779647,0.099575789,0.096621299,0.011015969,0.359477428,0.075367182,0.270954402,2.82E-08,1.952645018,0.451419235,0.017579224,0.429484136,0.48249767,33.48810811,0.017373145,33.47,33.53,0.131221719,0.000379607,0,1,0
0,0.025212803,0.000525045,0.02339382,0.028898248,0.025212791,0.000525044,0.023393809,0.028898234,1.73E-05,3.61E-07,1.61E-05,1.99E-05,1.73E-05,3.61E-07,1.61E-05,1.99E-05,-0.662047511,40.10673253,-120.68,96.25,0.495270232,0.006739879,0.483227257,0.509960108,0.006847159,0.003822881,0.001447697,0.018377424,0.005914439,0.021216528,6.06E-08,0.168037976,0.425587013,0.031454401,0.368443311,0.480947537,33.51827273,0.017207773,33.5,33.55,0.126696833,0.000314541,0,1,0
0,0.027956742,0.001520508,0.024081873,0.033026569,0.027956729,0.001520507,0.024081862,0.033026554,1.92E-05,1.05E-06,1.66E-05,2.27E-05,1.92E-05,1.05E-06,1.66E-05,2.27E-05,0.47522329,37.05420689,-138.96,102.35,0.475182536,0.008036628,0.458238313,0.486549131,0.013289895,0.007005841,0.002562151,0.032141805,0.009510671,0.031792527,7.30E-08,0.178836115,0.326344287,0.033286684,0.25816923,0.367057057,33.56657658,0.020067252,33.53,33.61,0.13566987,0.000408915,0,1,0
0,0.027441972,0.002217626,0.01376107,0.043347372,0.027441959,0.002217625,0.013761064,0.043347352,1.89E-05,1.53E-06,9.47E-06,2.98E-05,1.89E-05,1.53E-06,9.47E-06,2.98E-05,-0.083529412,48.94405619,-225.37,196.91,0.448486461,0.006165365,0.437337275,0.460784643,0.013498597,0.013366528,0.001433946,0.058071181,0.009810744,0.038942633,5.24E-08,0.312840756,0.203387506,0.028518255,0.166089089,0.257193857,33.59945455,0.013673888,33.57,33.63,0.135746606,8.87E-05,0,1,0
0,0.026943834,0.000326052,0.02545798,0.028210195,0.026943821,0.000326052,0.025457968,0.028210181,1.85E-05,2.24E-07,1.75E-05,1.94E-05,1.85E-05,2.24E-07,1.75E-05,1.94E-05,0.291520633,34.59441273,-75.57,57.74,0.427336562,0.005643535,0.417938868,0.43894426,0.002155354,0.001301697,0.000207596,0.00451596,0.001647458,0.005962862,7.97E-08,0.035580645,0.117184893,0.025429433,0.074372303,0.165264414,33.62585586,0.014235375,33.59,33.65,0.144714528,0.000253949,0,1,0
0,0.026759367,0.000269454,0.026146034,0.027522141,0.026759354,0.000269454,0.026146022,0.027522128,1.84E-05,1.85E-07,1.80E-05,1.89E-05,1.84E-05,1.85E-07,1.80E-05,1.89E-05,0.098257919,35.20049659,-74.82,48.43,0.407720748,0.005411036,0.397883719,0.418355287,0.00207124,0.002060319,0.000115754,0.007783868,0.001935276,0.00836015,7.98E-08,0.054951437,0.026967156,0.024340926,-0.012115433,0.073451769,33.64663636,0.01169905,33.61,33.66,0.14479638,0.000168834,0,1,0
0,0.026806099,0.000217625,0.026146034,0.028210195,0.026806086,0.000217625,0.026146022,0.028210181,1.84E-05,1.50E-07,1.80E-05,1.94E-05,1.84E-05,1.50E-07,1.80E-05,1.94E-05,-0.24897117,37.00266065,-77.15,49.02,0.392426829,0.003887043,0.384016771,0.400044117,0.00163243,0.001492428,0.000117817,0.005578929,0.001102747,0.004735809,7.40E-08,0.029404074,-0.043099186,0.016355852,-0.071616576,-0.012809111,33.66756757,0.010756621,33.65,33.68,0.144714528,0.000160232,0,1,0
